marz_en,marz_iso,community_hy,civil_contract,armenia_alliance,i_have_honor,prosperous_armenia,bright_armenia,anc,liberal,hanrapetutyun,national_democratic_pole,shirinyan_babajanyan,movement_5165,national_agenda,european,sovereign_armenia,fair_armenia,zartonk,liberty,united_homeland,pan_armenian_statehood,our_home_armenia,homeland_of_armenians,free_homeland,democratic_party,citizens_decision,verelk,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,536,203,204,114,12,2,2,1,0,3,1,0,2,4,2,2,3,1,0,3,0,2,4,1,0,3572,1102,0,1102,11,30.85
Aragatsotn,AM-AG,Աշտարակ,17517,5452,846,872,204,276,195,640,284,362,196,6,36,98,130,43,24,24,8,137,205,56,110,72,34,56721,27910,54,27827,48,49.21
Aragatsotn,AM-AG,Ապարան,6865,1299,1646,228,70,98,36,249,61,54,49,1,6,13,111,23,5,10,3,36,26,18,28,17,10,18801,10994,30,10962,25,58.48
Aragatsotn,AM-AG,Արեվուտ,116,60,12,21,0,0,0,7,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,832,221,1,220,6,26.56
Aragatsotn,AM-AG,Թալին,9109,2243,1099,337,48,140,64,572,113,169,93,4,16,74,30,66,20,17,4,66,50,23,77,21,12,28804,14523,46,14467,39,50.42
Aragatsotn,AM-AG,Ծաղկահովիտ,2598,462,233,98,20,24,21,44,32,12,15,1,6,10,10,7,2,2,0,15,7,8,20,3,4,7660,3661,8,3654,10,47.79
Aragatsotn,AM-AG,Մեծաձոր,34,11,6,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,261,57,0,57,2,21.84
Aragatsotn,AM-AG,Շամիրամ,98,14,63,0,2,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,855,183,0,183,1,21.4
Ararat,AM-AR,Արարատ,10174,1428,1971,736,88,93,114,1583,117,111,100,2,20,28,64,28,12,7,14,78,95,34,48,34,19,31393,17052,52,16998,22,54.32
Ararat,AM-AR,Արտաշատ,31032,8400,2996,1751,208,408,265,1102,374,498,387,13,86,96,122,110,46,18,27,357,311,100,171,71,17,99833,49060,79,48966,69,49.14
Ararat,AM-AR,Մասիս,14592,4935,2479,1320,113,180,283,473,202,248,151,6,26,77,56,59,27,16,30,164,198,50,60,28,57,50794,25876,44,25830,35,50.94
Ararat,AM-AR,Վեդի,11986,1725,3597,355,67,121,87,2071,182,155,98,5,14,29,56,38,23,14,40,145,90,24,61,18,17,39712,21062,41,21018,28,53.04
Ararat,AM-AR,Վերին Դվին,348,293,1,5,3,6,0,1,1,5,1,0,0,0,0,2,1,0,1,0,0,1,0,0,0,1705,670,1,669,1,39.3
Armavir,AM-AV,Արաքս,8473,2070,525,823,169,113,95,205,76,105,103,10,20,37,38,45,13,3,8,104,86,29,73,14,4,28844,13273,30,13241,20,46.02
Armavir,AM-AV,Արմավիր,15412,3239,871,1508,294,211,108,285,189,192,156,7,30,37,34,64,22,15,5,226,125,25,55,20,14,52922,23211,63,23144,32,43.86
Armavir,AM-AV,Բաղրամյան,4680,1312,271,253,40,71,89,86,70,50,43,0,7,32,39,13,6,2,0,43,18,13,20,14,3,15770,7186,10,7175,18,45.57
Armavir,AM-AV,Մեծամոր,13143,3280,937,1853,118,134,134,196,110,126,147,4,28,37,39,47,23,13,7,524,117,44,61,11,12,48294,21205,46,21145,37,43.91
Armavir,AM-AV,Վաղարշապատ,18708,6596,540,1353,214,330,280,662,352,494,290,13,48,66,80,87,33,17,15,207,284,136,204,49,26,70963,31193,99,31084,47,43.96
Armavir,AM-AV,Փարաքար,5707,1369,245,371,51,84,85,199,100,121,82,48,13,16,20,31,4,9,1,82,78,26,37,27,3,18728,8822,12,8809,13,47.11
Armavir,AM-AV,Ֆերիկ,82,3,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,352,101,0,101,1,28.69
Gegharkunik,AM-GR,Գավառ,12716,2106,1303,852,139,133,206,372,126,188,136,4,19,18,40,39,10,26,5,102,120,32,395,20,12,47985,19156,36,19119,30,39.92
Gegharkunik,AM-GR,Ճամբարակ,3444,1397,441,777,43,63,80,89,84,42,55,4,11,35,17,56,9,2,8,36,18,15,42,26,4,12115,6818,15,6798,19,56.28
Gegharkunik,AM-GR,Մարտունի,20444,2792,694,722,277,175,72,425,363,127,120,10,28,115,146,88,16,12,12,56,71,35,45,15,11,65408,26932,56,26871,41,41.18
Gegharkunik,AM-GR,Սեվան,10459,3317,650,940,94,149,76,441,219,220,133,9,29,54,60,57,18,7,6,85,138,38,57,30,17,33450,17364,46,17303,24,51.91
Gegharkunik,AM-GR,Վարդենիս,9635,2923,568,1322,76,118,163,436,85,57,71,1,20,48,50,35,25,12,24,81,44,24,26,25,7,30610,15939,56,15876,39,52.07
Kotayk,AM-KT,Աբովյան,14404,6926,778,4511,217,447,472,1545,463,456,406,35,73,87,73,78,30,35,14,273,339,127,106,70,22,65727,32130,131,31987,42,48.88
Kotayk,AM-KT,Ակունք,1976,611,139,873,10,24,24,110,30,40,20,3,5,4,4,9,4,2,0,17,39,5,14,5,1,7149,3974,4,3969,8,55.59
