marz_en,marz_iso,marz_hy,civil_contract,armenia_alliance,i_have_honor,prosperous_armenia,bright_armenia,anc,liberal,hanrapetutyun,national_democratic_pole,shirinyan_babajanyan,movement_5165,national_agenda,european,sovereign_armenia,fair_armenia,zartonk,liberty,united_homeland,pan_armenian_statehood,our_home_armenia,homeland_of_armenians,free_homeland,democratic_party,citizens_decision,verelk,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Արագածոտն,36873,9744,4109,1672,356,542,318,1513,492,600,355,12,67,200,284,142,54,56,15,258,288,108,239,114,61,117506,58651,139,58472,142,49.91
Ararat,AM-AR,Արարատ,68132,16781,11044,4167,479,808,749,5230,876,1017,737,26,146,230,298,237,109,55,112,744,694,209,340,151,110,223437,113720,217,113481,155,50.9
Armavir,AM-AV,Արմավիր,66205,17869,3389,6172,887,943,791,1633,897,1088,821,82,146,225,250,287,101,59,36,1189,708,274,450,135,62,235873,104991,260,104699,168,44.51
Gegharkunik,AM-GR,Գեղարքունիք,56698,12535,3656,4613,629,638,597,1763,877,634,515,28,107,270,313,275,78,59,55,360,391,144,565,116,51,189568,86209,209,85967,153,45.48
Kotayk,AM-KT,Կոտայք,63397,25626,4282,9760,1052,1636,1491,3981,1426,1567,1155,86,211,292,377,653,139,88,73,978,1178,359,513,243,80,242102,121110,426,120643,170,50.02
Lori,AM-LO,Լոռի,65095,17205,7114,4660,2744,1158,1118,2205,1402,1215,934,48,184,281,227,400,113,64,107,917,782,237,313,172,49,234183,109129,324,108744,221,46.6
Shirak,AM-SH,Շիրակ,60652,14366,2696,3051,1584,1151,983,2147,1271,1012,932,20,139,194,217,263,109,44,67,698,717,315,280,211,45,226775,93517,331,93164,220,41.24
Syunik,AM-SU,Սյունիք,35293,18452,1821,2478,570,495,1804,1358,634,488,636,39,117,157,226,141,64,35,43,417,278,117,172,77,39,109749,66145,216,65951,151,60.27
Tavush,AM-TV,Տավուշ,39807,9391,1379,1763,1134,547,516,728,395,652,398,23,77,127,153,171,40,30,39,367,297,159,124,155,52,109692,58677,147,58524,96,53.49
Vayots Dzor,AM-VD,Վայոց ձոր,15266,4070,1795,1688,365,214,203,655,230,349,200,9,39,116,59,101,19,59,8,255,136,84,73,71,11,46637,26130,47,26075,53,56.03
Yerevan,AM-ER,Երևան,181180,123307,25351,10417,5777,11516,6354,17528,10470,10587,8854,346,1207,1820,1509,1949,1016,414,248,5964,7657,2113,1947,2328,659,859490,443218,2232,440518,479,51.57
