marz_en,marz_iso,community_hy,locality_hy,civil_contract,armenia_alliance,i_have_honor,prosperous_armenia,bright_armenia,anc,liberal,hanrapetutyun,national_democratic_pole,shirinyan_babajanyan,movement_5165,national_agenda,european,sovereign_armenia,fair_armenia,zartonk,liberty,united_homeland,pan_armenian_statehood,our_home_armenia,homeland_of_armenians,free_homeland,democratic_party,citizens_decision,verelk,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,Ալագյազ գյուղ,86,68,20,6,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,558,186,0,186,1,33.33
Aragatsotn,AM-AG,Ալագյազ,Ավշեն գյուղ,48,14,22,5,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,344,95,0,95,1,27.62
Aragatsotn,AM-AG,Ալագյազ,Կանիաշիր գյուղ,14,1,37,25,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,364,82,0,82,1,22.53
Aragatsotn,AM-AG,Ալագյազ,Ճարճակիս գյուղ,105,20,22,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,507,160,0,160,1,31.56
Aragatsotn,AM-AG,Ալագյազ,Միջնատուն գյուղ,26,6,15,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,207,60,0,60,1,28.99
Aragatsotn,AM-AG,Ալագյազ,Միրաք գյուղ,18,3,13,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,37,0,37,1,39.36
Aragatsotn,AM-AG,Ալագյազ,Շենկանի գյուղ,41,22,13,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,86,0,86,1,36.13
Aragatsotn,AM-AG,Ալագյազ,Ջամշլու  գյուղ,51,6,6,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,237,75,0,75,1,31.65
Aragatsotn,AM-AG,Ալագյազ,Ռյա թազա գյուղ,38,39,45,15,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,533,146,0,146,1,27.39
Aragatsotn,AM-AG,Ալագյազ,Սադունց գյուղ,43,17,10,26,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,237,100,0,100,1,42.19
Aragatsotn,AM-AG,Ալագյազ,Սիփան գյուղ,66,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,75,0,75,1,29.64
Aragatsotn,AM-AG,Աշտարակ,Ագարակ գյուղ,510,122,45,14,1,3,2,9,9,12,5,0,0,2,8,4,0,0,0,2,6,1,2,0,0,1438,758,0,757,1,52.71
Aragatsotn,AM-AG,Աշտարակ,Աղձք գյուղ,447,145,10,25,2,6,2,6,8,5,2,0,1,1,2,1,0,1,0,1,4,2,3,0,2,1431,678,2,676,1,47.38
Aragatsotn,AM-AG,Աշտարակ,Անտառուտ գյուղ,95,38,0,6,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,246,145,1,144,1,58.94
Aragatsotn,AM-AG,Աշտարակ,Աշտարակ քաղաք,5319,1720,216,405,109,151,86,346,141,120,86,2,13,51,42,11,12,14,5,50,115,20,33,42,2,19551,9138,24,9111,11,46.74
Aragatsotn,AM-AG,Աշտարակ,Ավան գյուղ,273,81,7,11,1,3,1,8,0,2,4,0,0,0,5,0,0,0,0,1,2,0,0,1,1,666,401,0,401,1,60.21
Aragatsotn,AM-AG,Աշտարակ,Արագածոտն գյուղ,233,69,8,8,1,1,1,5,1,64,2,0,0,5,0,0,0,0,0,1,1,0,4,0,1,807,406,1,405,1,50.31
Aragatsotn,AM-AG,Աշտարակ,Արուճ գյուղ,306,80,45,18,1,2,5,3,4,5,1,0,0,2,1,3,0,0,0,2,2,2,1,1,0,869,487,3,484,1,56.04
Aragatsotn,AM-AG,Աշտարակ,Արտաշավան գյուղ,105,91,2,11,0,3,0,2,12,1,2,0,1,1,2,0,1,1,1,2,3,0,2,1,1,529,246,1,245,1,46.5
Aragatsotn,AM-AG,Աշտարակ,Բազմաղբյուր գյուղ,289,46,3,9,5,1,9,9,7,6,3,0,0,1,0,1,0,0,0,4,3,0,1,0,0,785,397,0,397,1,50.57
Aragatsotn,AM-AG,Աշտարակ,Բյուրական գյուղ,1383,355,30,23,3,11,11,19,18,21,10,1,5,2,6,3,1,0,0,11,4,5,4,1,5,3518,1936,4,1932,2,55.03
Aragatsotn,AM-AG,Աշտարակ,Դպրեվանք գյուղ,7,15,2,2,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62,30,0,30,1,48.39
Aragatsotn,AM-AG,Աշտարակ,Լեռնարոտ գյուղ,96,29,34,1,0,0,0,0,4,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,248,171,0,171,1,68.95
Aragatsotn,AM-AG,Աշտարակ,Կարբի գյուղ,903,588,93,13,4,9,6,31,7,18,10,2,2,1,0,0,0,0,0,5,3,2,2,1,15,3245,1742,0,1715,2,53.68
Aragatsotn,AM-AG,Աշտարակ,Կոշ գյուղ,764,184,103,17,6,2,2,14,3,15,9,0,4,0,7,0,0,0,0,4,1,2,4,2,0,2360,1144,1,1143,3,48.47
Aragatsotn,AM-AG,Աշտարակ,Ղազարավան գյուղ,150,42,25,3,0,0,1,2,2,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,0,416,231,0,231,1,55.53
Aragatsotn,AM-AG,Աշտարակ,Նոր Ամանոս գյուղ,164,26,6,23,8,10,3,0,4,3,0,0,0,0,0,0,0,0,0,1,0,6,0,2,0,577,257,1,256,1,44.54
Aragatsotn,AM-AG,Աշտարակ,Նոր Եդեսիա գյուղ,371,33,5,4,0,4,0,2,4,21,4,0,1,2,3,0,0,1,1,4,2,3,7,0,0,937,472,0,472,1,50.37
Aragatsotn,AM-AG,Աշտարակ,Ոսկեհատ գյուղ,337,46,3,77,1,3,2,5,2,1,1,0,0,2,1,0,0,0,0,1,0,1,8,4,0,815,497,2,495,1,60.98
Aragatsotn,AM-AG,Աշտարակ,Ոսկեվազ գյուղ,1143,265,14,117,10,25,3,25,15,11,14,0,2,2,10,8,2,2,0,11,19,4,1,4,2,3407,1715,6,1709,2,50.34
