tec,station,constituency,marz_hy,marz_en,marz_iso,community_hy,address,registered,ballots_cast,invalid,valid,civil_contract,armenia_alliance,i_have_honor,prosperous_armenia,bright_armenia,anc,liberal,hanrapetutyun,national_democratic_pole,shirinyan_babajanyan,movement_5165,national_agenda,european,sovereign_armenia,fair_armenia,zartonk,liberty,united_homeland,pan_armenian_statehood,our_home_armenia,homeland_of_armenians,free_homeland,democratic_party,citizens_decision,verelk,inaccuracy,turnout_pct
01,1/1,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ Ավան, 6 փ. 52/1",1996,1040,7,1033,452,195,126,34,4,28,30,46,23,22,11,0,3,6,3,9,2,1,0,9,17,2,3,4,3,0,52.1
01,1/2,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ Ավան, 6 փ. 52/1",1994,1050,6,1037,460,179,91,48,9,28,26,51,32,22,25,1,0,10,1,13,1,1,1,10,11,3,6,8,0,0,52.66
01,1/3,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 87 դպրոցԱվան, Խուդյակով փ. 44",1994,923,1,923,399,178,135,30,7,16,10,25,22,13,16,4,1,12,1,20,0,1,1,8,10,3,5,3,3,1,46.29
01,1/4,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 87 դպրոցԱվան, Խուդյակով փ. 44",1992,1034,6,1028,462,202,112,27,13,27,13,36,25,28,27,4,0,7,2,7,1,0,0,4,19,2,8,2,0,0,51.91
01,1/5,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 104 դպրոցԱվան, Աճառյան 5փ.",1929,1061,6,1055,472,222,113,30,14,27,11,43,9,19,23,1,2,5,1,5,2,2,0,19,25,1,5,2,2,0,55.0
01,1/6,1,Երևան,Yerevan,AM-ER,Ավան,"Ներսես Մեծի անվան թիվ 124 հիմնական դպրոց Ավան, Աճառյան փ. 15",1941,1089,4,1085,401,258,151,27,11,26,21,33,18,25,35,1,4,13,8,10,3,1,0,11,15,1,6,6,0,0,56.11
01,1/7,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 56 մ/մանկապարտեզ Ավան-Առինջ թաղ. 1մ/շ, 1/14",1571,869,2,864,314,247,90,25,6,27,19,28,20,21,13,0,2,0,2,7,2,0,1,11,12,4,5,8,0,1,55.32
01,1/8,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 56 մ/մանկապարտեզ Ավան-Առինջ թաղ. 1մ/շ, 1/14",1498,843,0,843,329,212,88,28,15,15,16,20,14,16,15,0,0,3,3,5,3,1,0,23,17,8,4,6,2,0,56.28
01,1/9,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 180 դպրոցԱվան-Առինջ թաղ. 2մ/շ,1584,942,5,938,321,260,93,22,10,26,15,48,19,33,20,0,4,6,0,5,2,0,0,20,19,1,4,7,3,1,59.47
01,1/10,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 55 մ/մանկապարտեզԱվան-Առինջ թաղ. 2մ/շ 1/6,1926,1100,6,1094,384,295,133,14,19,21,15,37,44,27,27,4,2,4,2,9,3,1,1,9,16,17,2,6,2,0,57.11
01,1/11,1,Երևան,Yerevan,AM-ER,Ավան,"Նախկին 7մ/մանկապարտեզ, Ավան-Առինջ թաղ. 1մ/շ",1895,1060,8,1052,366,294,174,10,9,25,7,49,21,25,20,0,2,3,2,1,3,2,0,11,20,4,1,3,0,0,55.94
01,1/12,1,Երևան,Yerevan,AM-ER,Ավան,Ավանի շախմատի մանկապատանեկան մարզադպրոցՆարեկացի թաղ. 38,1889,1011,11,1000,327,255,172,25,9,12,20,35,28,21,25,4,0,8,5,4,0,0,0,15,12,9,7,4,3,0,53.52
01,1/13,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի մշակույթի տուն,Ավան, Բաբաջանյան 18/13",1810,958,6,951,349,291,69,17,10,29,24,49,27,16,16,0,6,2,2,2,3,0,0,9,16,12,1,0,1,1,52.93
01,1/14,1,Երևան,Yerevan,AM-ER,Ավան,Գ.Բուդաղյանի անվան արվեստի դպրոց Թումանյան թաղ. 3,1914,1087,3,1084,366,273,150,15,11,36,10,44,33,27,21,2,1,4,9,10,3,3,1,30,15,7,5,6,2,0,56.79
01,1/15,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 170 դպրոց Թումանյան թաղ. 3,1785,953,3,947,334,261,123,14,13,28,13,31,21,18,24,2,0,2,2,2,2,1,0,17,21,6,6,2,4,0,53.39
01,1/16,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 52 մ/մանկապարտեզ Իսահակյան թաղ. 2/4,1377,750,4,745,289,174,80,6,12,24,9,45,15,18,22,1,2,4,5,2,1,0,0,11,12,1,2,8,2,0,54.47
01,1/17,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 171 դպրոց Իսահակյան թաղ.,1461,827,6,819,286,216,116,11,13,26,6,22,24,12,23,0,3,1,2,6,1,2,0,14,15,5,10,3,2,2,56.61
01,1/18,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի մանկապատանեկան համալիր մարզադպրոց Ավան, Խուդյակով փ. 214",1949,1115,8,1107,402,247,196,13,7,15,11,35,51,26,32,0,2,4,1,6,1,2,1,14,19,9,9,4,0,0,57.21
01,1/19,1,Երևան,Yerevan,AM-ER,Ավան,Գ.Ստարովոյտովայի անվան թ. 177 դպրոց Դուրյան թաղ. 24,1844,1088,5,1081,318,259,270,11,17,17,17,42,23,24,26,0,1,5,7,7,1,1,0,10,11,4,4,5,1,1,59.0
