marz_en,marz_iso,community_hy,locality_hy,civil_contract,strong_armenia,armenia_alliance,prosperous_armenia,wings_of_unity,meritocratic,democracy_law_discipline,new_power,against_all,hanrapetutyun,bright_armenia,for_the_republic,national_democratic_pole,democratic_consolidation,anc,christian_democratic,kochari,reformists,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Ալագյազ,Ալագյազ գյուղ,149,21,16,19,5,0,0,0,1,0,0,0,0,0,0,0,0,0,458,213,2,211,1,46.51
Aragatsotn,AM-AG,Ալագյազ,Ավշեն գյուղ,75,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,91,0,91,1,40.09
Aragatsotn,AM-AG,Ալագյազ,Կանիաշիր գյուղ,22,6,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,101,0,101,1,37.69
Aragatsotn,AM-AG,Ալագյազ,Ճարճակիս գյուղ,130,17,11,12,1,0,1,0,0,1,2,0,1,0,0,0,0,0,405,178,2,176,1,43.95
Aragatsotn,AM-AG,Ալագյազ,Միջնատուն գյուղ,34,13,5,3,0,0,1,0,0,0,0,0,0,4,0,0,0,0,173,60,0,60,1,34.68
Aragatsotn,AM-AG,Ալագյազ,Միրաք գյուղ,28,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81,36,2,34,1,44.44
Aragatsotn,AM-AG,Ալագյազ,Շենկանի գյուղ,59,3,9,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,92,3,89,1,47.92
Aragatsotn,AM-AG,Ալագյազ,Ջամշլու  գյուղ,80,2,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,100,0,100,1,54.35
Aragatsotn,AM-AG,Ալագյազ,Ռյա թազա գյուղ,80,56,9,16,0,0,1,0,0,0,1,0,0,0,0,0,0,0,406,165,2,163,1,40.64
Aragatsotn,AM-AG,Ալագյազ,Սադունց գյուղ,61,5,3,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,193,97,1,95,1,50.26
Aragatsotn,AM-AG,Ալագյազ,Սիփան գյուղ,39,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,56,1,55,1,32.18
Aragatsotn,AM-AG,Աշտարակ,Ագարակ գյուղ,492,201,97,15,6,12,19,13,7,4,3,3,1,0,0,3,1,0,1442,886,9,877,1,61.44
