tec,station,constituency,marz_hy,marz_en,marz_iso,community_hy,address,registered,ballots_cast,invalid,valid,civil_contract,strong_armenia,armenia_alliance,prosperous_armenia,wings_of_unity,meritocratic,democracy_law_discipline,new_power,against_all,hanrapetutyun,bright_armenia,for_the_republic,national_democratic_pole,democratic_consolidation,anc,christian_democratic,kochari,reformists,inaccuracy,turnout_pct
01,1/1,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ Ավան, 6 փ. 52/1",1944,1122,12,1110,482,272,120,33,13,41,37,43,23,17,3,5,7,6,4,2,0,2,0,57.72
01,1/2,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 51 մ/մանկապարտեզ Ավան, 6 փ. 52/1",1995,1180,13,1167,531,290,121,27,37,28,24,43,22,9,7,5,6,9,1,5,1,1,0,59.15
01,1/3,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 87 դպրոց Ավան, Խուդյակով փ. 44",2258,1277,19,1260,507,330,153,48,32,53,27,34,28,13,1,5,2,14,5,3,4,1,2,56.55
01,1/4,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 87 դպրոց Ավան, Խուդյակով փ. 44",1911,1130,11,1117,509,238,109,36,32,52,24,37,28,16,2,6,8,13,1,2,3,1,2,59.13
01,1/5,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 104 դպրոց Ավան, Աճառյան 5",1912,1202,16,1186,482,316,134,39,35,42,20,32,28,26,4,5,3,10,5,2,3,0,0,62.87
01,1/6,1,Երևան,Yerevan,AM-ER,Ավան,"Օհանյանի անվան հիմն. դպրոց Ավան, Աճառյան փկղ. 15/1",2026,1169,12,1157,449,280,188,37,39,34,29,28,21,16,8,9,2,7,3,2,4,1,0,57.7
01,1/7,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 56 մ/մանկապարտեզ Ավան Առինջ, 1 մ/շ, 1/14",1573,998,10,987,386,272,145,18,20,28,8,39,31,13,3,6,4,1,3,4,2,4,1,63.45
01,1/8,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 56 մ/մանկապարտեզ Ավան Առինջ, 1 մ/շ, 1/14",1478,904,15,888,366,229,110,22,22,23,21,31,23,27,3,6,0,1,2,2,0,0,1,61.16
01,1/9,1,Երևան,Yerevan,AM-ER,Ավան,"Թիվ 180 դպրոց Ավան Առինջ թաղ., 2 մ/շ",1570,1003,12,989,372,267,138,24,33,39,20,29,20,13,2,4,9,10,4,2,1,2,0,63.89
01,1/10,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 55 մ/մանկապարտեզ Ավան Առինջ թաղ. 2մ/շ 1/6,1880,1173,5,1168,435,365,138,26,41,40,18,31,21,10,6,9,19,5,1,2,1,0,0,62.39
01,1/11,1,Երևան,Yerevan,AM-ER,Ավան,"Նախկին 7մ/մ, Ավան-Առինջ թաղ. 1մ/շ 3/14",1701,1075,9,1066,377,327,152,16,42,38,15,35,17,17,8,6,4,9,0,2,1,0,1,63.2
01,1/12,1,Երևան,Yerevan,AM-ER,Ավան,Ավանի շախմատի մանկապատանեկան մարզադպրոց Նարեկացի թաղ. 38,1805,1116,14,1101,384,309,129,33,41,32,34,59,27,10,10,10,7,3,1,5,7,0,1,61.83
01,1/13,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի մշակույթի տուն, Ավան, Բաբաջանյան 18/13",1780,1073,8,1062,356,315,156,26,47,26,22,40,30,9,4,6,9,8,5,1,1,1,0,60.28
01,1/14,1,Երևան,Yerevan,AM-ER,Ավան,"Գ. Բուդաղյանի անվան արվեստի դպրոց, Ալմա-Աթայի 3",1904,1196,12,1184,431,336,156,21,34,27,28,42,37,18,5,8,8,25,3,4,0,1,0,62.82
01,1/15,1,Երևան,Yerevan,AM-ER,Ավան,"«Երևանի հ.170 ավագ դպրոց» ՊՈԱԿ, Թումանյան թաղամաս 30",1791,1114,12,1101,424,267,190,16,37,36,19,28,27,20,6,11,6,3,3,5,2,1,1,62.2
01,1/16,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 52 մ/մանկապարտեզ Իսահակյան թաղ. 2/4,1349,897,15,882,316,241,103,29,21,40,25,27,18,15,7,9,6,6,2,11,3,3,0,66.49
01,1/17,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 171 դպրոց Իսահակյան թաղ.,1481,935,9,926,319,256,142,23,25,24,28,28,32,9,4,1,14,7,6,6,1,1,0,63.13
01,1/18,1,Երևան,Yerevan,AM-ER,Ավան,"Ավանի Մանկապատանեկան համալիր մարզադպրոց Ավան, Խուդյակով փող. 214",1882,1167,5,1162,476,305,137,22,29,37,33,48,21,10,4,8,15,9,2,3,2,1,0,62.01
01,1/19,1,Երևան,Yerevan,AM-ER,Ավան,Գ. Ստարովոյտովայի անվան 177 դպրոց Դուրյան թաղ. 24,1759,1122,14,1108,396,361,120,24,41,34,16,26,26,15,5,3,9,29,0,2,1,0,0,63.79
01,1/20,1,Երևան,Yerevan,AM-ER,Ավան,ԵՊՀ մասնաճյուղ Ծարավ Աղբյուրի 55,2296,1561,7,1562,454,430,258,26,98,64,13,59,71,22,18,14,10,9,6,5,4,1,10,67.99
01,1/21,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 54 մ/մանկապարտեզ Դուրյան թաղ. 35/1,1479,911,6,904,339,284,99,10,20,42,24,33,22,9,5,3,4,6,0,4,0,0,0,61.6
01,1/22,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 57 մ/մանկապարտեզ Դուրյան թաղ. 52,1602,972,16,956,322,282,123,33,38,39,11,35,23,10,8,7,4,13,1,3,2,2,0,60.67
01,1/23,1,Երևան,Yerevan,AM-ER,Ավան,Թիվ 54 մ/մանկապարտեզ Դուրյան թաղ. 35/1,1268,810,10,800,320,186,102,14,22,37,25,31,17,13,6,5,15,2,0,4,1,0,0,63.88
02,2/1,2,Երևան,Yerevan,AM-ER,Նոր Նորք,"Հ.105 մսուր-մանկապարտեզ, Բաղյան փող. 2",2126,1354,4,1350,498,349,221,36,38,52,21,45,35,14,11,5,2,9,3,7,2,2,2,63.69
