marz_en,marz_iso,marz_hy,civil_contract,strong_armenia,armenia_alliance,prosperous_armenia,wings_of_unity,meritocratic,democracy_law_discipline,new_power,against_all,hanrapetutyun,bright_armenia,for_the_republic,national_democratic_pole,democratic_consolidation,anc,christian_democratic,kochari,reformists,registered,ballots_cast,invalid,valid,stations,turnout_pct
Aragatsotn,AM-AG,Արագածոտն,40774,13608,6268,3099,727,918,879,552,648,751,221,168,178,166,111,85,58,66,113543,69975,714,69277,142,61.63
Ararat,AM-AR,Արարատ,72636,25138,11426,8477,1601,1870,2210,1474,1177,1389,451,408,374,261,141,168,159,113,220368,131687,1393,129473,155,59.76
Armavir,AM-AV,Արմավիր,69581,28870,11308,4095,1701,1671,2402,1303,1182,745,455,367,339,318,163,204,151,143,226472,126259,1234,124998,169,55.75
Gegharkunik,AM-GR,Գեղարքունիք,54320,18528,8868,5723,2629,1131,1093,696,719,831,351,272,292,219,130,101,80,65,178193,97227,1166,96048,153,54.56
Kotayk,AM-KT,Կոտայք,69539,31597,16236,12805,2686,2879,2386,2057,1912,1190,547,517,481,413,326,289,226,140,240672,148082,1826,146226,169,61.53
Lori,AM-LO,Լոռի,60873,41153,6137,3904,1919,1774,1640,1059,1203,890,1078,315,410,407,257,155,92,109,213477,124884,1482,123375,221,58.5
Shirak,AM-SH,Շիրակ,63851,26665,8178,4340,1451,1549,1624,821,1295,886,461,1163,420,407,192,147,110,96,207892,115245,1578,113656,220,55.44
Syunik,AM-SU,Սյունիք,35482,14273,7200,2006,4948,1020,828,576,774,575,493,247,206,361,94,83,96,82,107118,71514,850,69344,151,66.76
Tavush,AM-TV,Տավուշ,38756,13451,4589,2222,1424,867,792,468,616,538,471,139,134,143,68,63,73,49,103467,65557,683,64863,94,63.36
Vayots Dzor,AM-VD,Վայոց ձոր,17266,5632,2194,1269,342,418,422,237,337,230,101,106,89,82,26,116,31,26,44653,29291,357,28924,53,65.6
Yerevan,AM-ER,Երևան,203411,121078,62571,10342,14096,16540,11481,16305,11313,7779,2809,3052,2558,2491,1635,1260,910,536,850561,496638,4905,490167,478,58.39
